empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Recovery do Brasil Consultoria,SP,São Paulo,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-08,Não Avaliada,,2026,1
PicPay,MS,Dourados,Empresas de Pagamento Eletrônico,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),SAC - Dificuldade para cancelar o serviço,2026-04-06,Não Avaliada,,2026,4
Bradesco Financiamentos,SC,Videira,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-02-13,,,2026,2
Ativos S.A,SP,São Paulo,Empresas de Recuperação de Crédito,Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,SAC - Descortesia / despreparo / demora,2026-01-07,Não Avaliada,,2026,1
Mercado Livre,BA,Salvador,Empresas de Intermediação de Serviços / Negócios,Produtos de Telefonia e Informática,"Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)",Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,2026-01-09,Não Avaliada,,2026,1
Google,BA,Salvador,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)","Falta de clareza / transparência no uso dos dados pessoais ou financeiros (falta de informação sobre a finalidade, período de armazenamento ou compartilhamento)",2026-01-07,Não Avaliada,,2026,1
Loft,MS,Três Lagoas,"Construtoras, Incorporadoras e Imobiliárias",Serviços Financeiros,Seguro Residencial / Condomínio,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-12,Não Avaliada,,2026,1
Mercado Livre,SP,São Caetano do Sul,Empresas de Intermediação de Serviços / Negócios,Demais Produtos,"Perfumaria, cosméticos e higiene pessoal",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-14,Resolvida,3.0,2026,1
Serasa Experian,SP,Miguelópolis,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Impossibilidade / dificuldade de revisão do score / pontuação,2026-01-07,Não Avaliada,,2026,1
